Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Explicit Track,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
Outside (feat. Ellie Goulding),Full Circle: The Live Anthology,Calvin Harris,2011-11-20,GBARL1401201,"1,708",False,0.25501770956316405,1.6500248287253783,1.7332794426160094,2.2648489281239774,1.3333333333333333,2.351967815996367,1.9652690753766147,1.6611032459826869,1.1524479067869446,0.9263698614611432,0.9976632500815676,1.6666666666666667,0.8573907688862765,-2.310344827586207,2.391304347826087,1.381868054625627,0.1111111111111111,4.052477168617459,2.550626092369574,0.0,5.043080856470978
Bamba (feat. Aitch & BIA),Bamba (feat. Aitch & BIA),Luciano,2022-09-22,DECE72202389,"1,723",True,0.25029515938606867,-0.07092985408597528,0.6401190728230396,-0.20987709976768806,-0.5555555555555556,-0.1825103824957109,-0.1618305975392649,-0.2560543637676687,-0.28359120157955,-0.25560424200005977,-0.23429998832670396,-0.2916666666666667,0.02801802558289249,0.0,-0.30434782608695654,-0.3464877772848164,-0.3888888888888889,-0.28982458470699146,-0.37397945746642086,0.0,0.22028187199179072
Sin Querer,Sin Querer - Single,Fer Vazquez,2023-12-14,ARC082300049,"1,720",True,0.25029515938606867,-0.358597270159586,-0.36327475925605146,-0.12283677258662731,0.0,-0.1230997646685149,-0.2509130209483857,-0.0837344548829722,-0.31711124973054616,-0.24805297069043084,6.89582736138992,0.0,-0.10420690234276597,0.0,-0.5217391304347826,-0.3520004727346029,-0.6666666666666666,-0.28968920568773054,0.0,0.0,-0.396654694788729
Filhall 2,Filhall 2,B Praak,2020-06-19,QZLQR2052977,"1,721",False,0.25029515938606867,-0.294518330412277,-0.4145735896991743,-0.5430409034174823,0.0,2.6437908783791078,2.6943091629660674,1.8202699736261918,0.08112936462747392,0.2658855399293771,0.4052876851582311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMBOY,I NEVER DIE,(G)I-DLE,2022-03-14,KRA392100080,"1,724",False,0.25029515938606867,0.08569179742827997,-0.07374046487159254,-0.10059404671395498,0.0,0.9292021923784117,1.1121823523218293,-0.3535171970591136,0.002917294888530095,-0.06154404983418262,0.33717216035744346,-0.20833333333333334,-0.0825146247935735,0.0,-0.391304347826087,-0.3689807946802108,0.7222222222222222,-0.27517283300877343,-0.3150812842674839,0.0,-0.1507336334743324
Everything I Love,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,USUG12300803,"1,722",False,0.25029515938606867,-0.12268330165404134,0.0030538073150233208,-0.3896973473824578,0.1111111111111111,-0.35063812733728206,-0.4017023789124677,-0.045310775084545715,-0.018013324426179703,-0.06088661778556981,0.0,-0.20833333333333334,3.618523805525233,-1.8620689655172413,0.0,0.0,0.16666666666666666,0.44457805320827903,-0.01872291522014988,-851994.0,-0.20196546144760313
ýýýýýýýýýýýýýýýýýý ýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýý ýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,Md Faisal Ahmed,2023-07-09,QZLQR2199831,"1,731",False,0.24557260920897298,-0.44520351057187085,0.0,0.0,0.0,0.4007806865512203,0.23947471102293444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butta My Bread,Butta My Bread - Single (feat. Lasmid) - Single,JZyNo,2023-04-07,TCAGZ2348437,"1,729",False,0.24557260920897298,-0.35902283067397334,-0.11020651692745924,-0.42941924470947546,-0.7777777777777778,-0.3145060346291804,-0.36150778003266026,2.6789935322132683,-0.11040740935906404,-0.021855289744104167,-0.311152393101993,-0.1875,-0.11590673720155624,-1.0344827586206897,-0.391304347826087,-0.1845475829775513,0.0,-0.28721318988589445,-0.37230349318840233,0.0,0.669970570767508
Barking,Barking,Ramz,2017-12-01,GBUM71706255,"1,726",False,0.24557260920897298,0.5105207087963495,1.3443424370152242,-0.12096123975607424,-0.5555555555555556,-0.20532733304459835,-0.21962360208183226,19.209691817756667,1.4780552532646682,1.2571138066544583,0.0,0.10416666666666667,0.2836510202367957,0.0,0.13043478260869565,-0.2717575862704909,-0.7222222222222222,-0.26695606852955145,0.3727344554313214,0.0,0.9408141456749566
One Of Them Girls,One Of Them Girls,Lee Brice,2020-04-10,USCRB1900135,"1,728",False,0.24557260920897298,0.264721862701533,0.24311129074683552,0.010514778882327618,0.0,0.10522464480501832,-0.11725583786316969,0.20254575648926118,-0.06150856598505318,-0.14523037152119603,1.9586395306132502,0.0,9.19472667730288,3.310344827586207,-0.391304347826087,-0.4448661355709438,0.05555555555555555,7.153466457401232,2.6606172337012475,-185272.0,0.0
INFERNO,INFERNO,Sub Urban,2021-08-13,USWB12101521,"1,730",False,0.24557260920897298,-0.011488856831966012,0.15705294762977076,-0.20012854741067582,-0.7777777777777778,0.08345672324369782,1.2221474417865275,6.805460555408858,7.459556898986173,7.0979042415791085,4.783906299570357,-0.3125,-0.03977384051277745,2.2758620689655173,-0.21739130434782608,0.12752397150439687,-0.2777777777777778,-0.13867748308917352,-0.06172337012473963,0.0,0.04116358264202175
Hold On,Hold On,Chord Overstreet,2017-02-03,USUM71615568,"1,725",False,0.24557260920897298,1.1280557892226575,1.155801913120465,0.6121272272272323,0.6666666666666666,1.7875378330516858,2.335449436153221,1.409299232964397,2.542156603726431,2.005655988164235,0.7429357310662337,-0.16666666666666666,-0.15397318554594563,0.0,-0.391304347826087,-0.4028060992294712,0.0,2.7419087308246533,5.384585917111595,25198971.0,1.047000320739245
Bipolar,Bipolar,Mc Davi,2021-04-09,BXG6R2100310,"1,727",True,0.24557260920897298,-0.12148261796551343,0.00433691963226001,-0.2551250920910886,-1.6666666666666667,0.5587834905245487,0.8023229647735977,7.203418096440967,1.7542459283218004,2.038064173964208,-0.3652011988634323,0.125,-0.0760769166176841,0.0,0.8695652173913043,-0.05114111556788436,-0.7777777777777778,0.0,0.0,0.0,-0.27432822520703537
bury a friend,bury a friend,Billie Eilish,2019-01-30,USUM71900770,"1,739",False,0.24085005903187728,1.4385815438771032,1.051266752635192,0.708955382581104,0.1111111111111111,1.1374357921478313,2.881301427319954,2.166093272292867,3.0717231568498597,2.3335248005794758,1.6689102405184197,1.9583333333333333,0.3567330030509139,0.8620689655172413,1.5217391304347827,0.056468910789929036,2.5,1.4426711618813286,3.4095817272009,0.0,1.6773025573711455
Time Slowly Slippin',Reflections,LAZA,2022-11-25,DEG932204253,"1,736",False,0.24085005903187728,0.0,-0.41453509632965724,-0.5430266101331093,0.0,0.9193877857504522,0.13567109362258223,0.0,0.0,0.0,0.0,0.0,-0.16656870154225095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.437154290923284
"Alone, Pt. II","Alone, Pt. II",Alan Walker,2019-12-27,NOG841907010,"1,740",False,0.24085005903187728,0.680169624731678,0.6280449859178423,0.24988805726979121,0.2222222222222222,0.6999496860435082,1.5882982610796046,4.268988664670868,0.8365008116041842,1.307066996843949,0.4250695100410568,0.6041666666666666,2.203123687967084,0.0,1.4782608695652173,0.5214872649968143,-0.2222222222222222,-0.20058620845132433,-0.17564105633634208,0.0,2.2647157672241325
El Tsurito,El Tsurito,Junior H,2023-04-07,QZ9QQ2300262,"1,741",True,0.24085005903187728,0.033339607120846215,-0.10575411718664793,-0.1402436585197164,0.2222222222222222,0.09944223557978567,-0.15275406480986387,-0.30363284095861953,-0.29276267515060445,-0.34513685858082344,0.0,-0.20833333333333334,-0.16656870154225095,0.0,-0.391304347826087,2.278868620286891,-0.6111111111111112,-0.09581436431937095,-0.3167093638518448,0.0,-0.23677001768413988
GOOD LOYAL THOTS,GOOD LOYAL THOTS,Odetari,2023-03-15,QZES92330937,"1,734",True,0.24085005903187728,-0.03132371404884576,0.057996676739098356,-0.2725645372249701,0.4444444444444444,-0.27429098005537433,-0.16671965525760368,1.581797300263738,1.3485912467439933,0.7430006730357221,0.0,-0.5416666666666666,-0.1665966915777983,-2.2758620689655173,0.0,0.0,0.0,-0.2580771804710894,-0.22223286326525726,-2902631.0,-0.12681937674277274
No Me Acuerdo,No Me Acuerdo,Thalia,2018-06-01,USSD11800192,"1,733",False,0.24085005903187728,0.2369968771439653,0.003977648183433737,-0.07994262618315708,-0.7777777777777778,3.667614597356194,1.3167616676404181,0.24235907192191572,-0.34473218253640714,-0.19695238826195122,1.3447327415314094,0.375,0.2673048394771461,0.0,0.43478260869565216,-0.3544747046480963,0.7777777777777778,0.1820060753497134,0.4627097948140877,0.0,0.45640427263552
Abcdario,Abcdario,Eden Muï¿½ï,2023-05-13,MXB952300035,"1,738",False,0.24085005903187728,0.04204980991051227,-0.16171064534133994,-0.21213531583371853,0.5555555555555556,0.0021742176323617905,-0.2055654536408323,-0.46371835699764896,-0.4582830544269194,-0.4950806956889571,-0.41852526888098873,-0.16666666666666666,-0.13471604108937218,0.0,-0.43478260869565216,2.15055929936157,-0.7777777777777778,-0.09676333755895833,-0.14911293604999162,-389776.0,-0.10085484426242507
Freestyle,Too Hard,Lil Baby,2017-12-01,QZ4JX1760834,"1,735",True,0.24085005903187728,0.8661690680389935,1.7648311744968597,1.005357022643337,0.8888888888888888,1.622401886691763,0.8459752412529256,-0.377428601424631,-0.17948313534640326,-0.29193509377462445,0.7275826371740677,1.1458333333333333,-0.14431662328211156,-1.5862068965517242,-0.043478260869565216,0.040542710761240906,-0.3888888888888889,3.0235616849789855,3.5441377163789594,0.0,0.6851338127199967
Una Locura,ENOC,Ozuna,2020-09-04,USXDR2000574,"1,732",False,0.24085005903187728,0.6402464944001109,0.5832515349231095,0.4686101608562742,-0.1111111111111111,1.2977389339109209,0.5075302293029661,-0.325266362736895,-0.3885181863914644,-0.3963190544962479,-0.31913508396829066,1.3125,0.11383547457105271,-2.0689655172413794,0.13043478260869565,-0.2544703680705899,0.7777777777777778,0.14950825983858715,-0.21811477961069745,0.0,0.3289996874454884
double take,double take,Dhruv,2019-05-24,GBMJG1911043,"1,737",False,0.24085005903187728,1.0892749395193098,0.9580101494184293,0.3216328091080166,1.0,0.5471196562423342,0.5396144770335748,5.9416162149608525,9.130256949067755,8.169217512932427,0.3247350543662538,0.22916666666666666,0.20679038262378593,-2.6551724137931036,-0.34782608695652173,-0.3577152241033649,-0.7222222222222222,-0.2800000464312709,-0.2988004884238753,7769871.0,0.5211076604501911
